Profit Ratio,Category,City,Country/Region,Customer Name,Discount,Number of Records,Order Date,Order ID,Postal Code,Manufacturer,Product Name,Profit,Quantity,Region,Sales,Segment,Ship Date,Ship Mode,State,Sub-Category
47%,Office Supplies,Los Angeles,United States,Rob Dowd,0%,1,2/16/2017,CA-2017-121776,90008,Xerox,Xerox 1881,$17,3,West,$37,Consumer,2/21/2017,Standard Class,California,Paper
46%,Office Supplies,Los Angeles,United States,Lauren Leatherbury,0%,1,4/25/2019,CA-2019-120222,90032,Other,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",$9,3,West,$19,Consumer,5/2/2019,Standard Class,California,Paper
48%,Office Supplies,Los Angeles,United States,Guy Armstrong,0%,1,11/11/2019,CA-2019-110842,90036,Xerox,Xerox 201,$9,3,West,$19,Consumer,11/16/2019,Standard Class,California,Paper
48%,Office Supplies,Los Angeles,United States,Toby Swindell,0%,1,11/24/2017,CA-2017-153416,90036,Xerox,Xerox 225,$9,3,West,$19,Consumer,11/29/2017,Standard Class,California,Paper
49%,Office Supplies,Los Angeles,United States,Jill Matthias,0%,1,8/14/2018,CA-2018-136021,90045,Array,Array Memo Cubes,$8,3,West,$16,Consumer,8/18/2018,Standard Class,California,Paper
48%,Office Supplies,Los Angeles,United States,William Brown,0%,1,11/4/2016,CA-2016-125829,90045,Xerox,Xerox 2000,$9,3,West,$19,Consumer,11/11/2016,Standard Class,California,Paper
46%,Office Supplies,Los Angeles,United States,Clay Ludtke,0%,1,12/30/2017,CA-2017-135580,90049,Xerox,Xerox 1929,$32,3,West,$69,Consumer,1/3/2018,Standard Class,California,Paper
48%,Office Supplies,Los Angeles,United States,Xylona Preis,0%,1,11/3/2018,CA-2018-109365,90049,Other,Multicolor Computer Printout Paper,$151,3,West,$315,Consumer,11/8/2018,Standard Class,California,Paper
49%,Office Supplies,Los Angeles,United States,Xylona Preis,0%,1,11/3/2018,CA-2018-109365,90049,Xerox,Xerox 1892,$57,3,West,$116,Consumer,11/8/2018,Standard Class,California,Paper
48%,Office Supplies,Los Angeles,United States,Xylona Preis,0%,1,11/3/2018,CA-2018-109365,90049,Xerox,Xerox 22,$9,3,West,$19,Consumer,11/8/2018,Standard Class,California,Paper
49%,Office Supplies,Riverside,United States,Neoma Murray,0%,1,10/21/2018,CA-2018-112340,92503,REDIFORM,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",$11,3,West,$23,Consumer,10/27/2018,Standard Class,California,Paper
48%,Office Supplies,Roseville,United States,Arianne Irving,0%,1,3/14/2017,CA-2017-167479,95661,Xerox,Xerox 223,$9,3,West,$19,Consumer,3/19/2017,Standard Class,California,Paper
49%,Office Supplies,San Francisco,United States,Herbert Flentye,0%,1,9/21/2016,CA-2016-153969,94109,Wirebound,"Wirebound Four 2-3/4 x 5 Forms per Page, 400 Sets per Book",$9,3,West,$19,Consumer,9/25/2016,Standard Class,California,Paper
49%,Office Supplies,San Francisco,United States,Eric Barreto,0%,1,5/18/2018,CA-2018-122728,94110,Universal,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),$9,3,West,$18,Consumer,5/24/2018,Standard Class,California,Paper
45%,Office Supplies,San Francisco,United States,Brian Dahlen,0%,1,8/15/2016,US-2016-164406,94122,Xerox,Xerox 1925,$42,3,West,$93,Consumer,8/19/2016,Standard Class,California,Paper
45%,Office Supplies,San Francisco,United States,Cindy Stewart,0%,1,5/12/2017,CA-2017-159380,94122,Xerox,Xerox 1962,$6,3,West,$13,Consumer,5/16/2017,Standard Class,California,Paper
45%,Office Supplies,San Francisco,United States,Jeremy Farry,0%,1,12/27/2016,US-2016-106334,94122,Xerox,Xerox 1927,$6,3,West,$13,Consumer,1/2/2017,Standard Class,California,Paper
48%,Office Supplies,Salt Lake City,United States,Joy Bell-,0%,1,11/2/2019,CA-2019-168179,84106,Xerox,Xerox 220,$9,3,West,$19,Consumer,11/7/2019,Standard Class,Utah,Paper
45%,Office Supplies,West Jordan,United States,Sanjit Chand,0%,1,11/8/2017,CA-2017-123568,84084,Xerox,Xerox 1988,$42,3,West,$93,Consumer,11/14/2017,Standard Class,Utah,Paper
49%,Office Supplies,Seattle,United States,John Castell,0%,1,10/18/2017,CA-2017-127824,98115,Xerox,Xerox 1903,$9,3,West,$18,Consumer,10/22/2017,Standard Class,Washington,Paper
17%,Office Supplies,Los Angeles,United States,Bill Donatelli,0%,1,8/15/2018,CA-2018-167241,90004,Other,"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",$3,3,West,$18,Consumer,8/22/2018,Standard Class,California,Storage
4%,Office Supplies,Los Angeles,United States,Lena Radford,0%,1,9/2/2018,CA-2018-126732,90036,Akro,Akro Stacking Bins,$1,3,West,$24,Consumer,9/6/2018,Standard Class,California,Storage
3%,Office Supplies,Los Angeles,United States,Alan Barnes,0%,1,6/25/2017,CA-2017-115945,90045,Tennsco,Tennsco Regal Shelving Units,$9,3,West,$304,Consumer,7/1/2017,Standard Class,California,Storage
1%,Office Supplies,Los Angeles,United States,Carlos Soltero,0%,1,10/21/2018,CA-2018-161746,90045,SAFCO,SAFCO Boltless Steel Shelving,$3,3,West,$341,Consumer,10/27/2018,Standard Class,California,Storage
19%,Office Supplies,Los Angeles,United States,Clay Ludtke,0%,1,12/30/2017,CA-2017-135580,90049,Other,2300 Heavy-Duty Transfer File Systems by Perma,$14,3,West,$75,Consumer,1/3/2018,Standard Class,California,Storage
15%,Office Supplies,Morgan Hill,United States,Roger Demir,0%,1,12/3/2018,CA-2018-149762,95037,Acco,Acco Perma 4000 Stacking Storage Drawers,$7,3,West,$49,Consumer,12/7/2018,Standard Class,California,Storage
19%,Office Supplies,Murrieta,United States,Ryan Akin,0%,1,8/27/2017,CA-2017-126445,92563,Fellowes,Fellowes Super Stor/Drawer Files,$92,3,West,$485,Consumer,8/31/2017,Standard Class,California,Storage
27%,Office Supplies,Oakland,United States,Richard Eichhorn,0%,1,8/15/2017,CA-2017-142454,94601,Other,Mobile Personal File Cube,$19,3,West,$70,Consumer,8/19/2017,Standard Class,California,Storage
27%,Office Supplies,San Diego,United States,Annie Zypern,0%,1,2/5/2018,CA-2018-100993,92037,Fellowes,"Fellowes Mobile File Cart, Black",$50,3,West,$187,Consumer,2/10/2018,Standard Class,California,Storage
1%,Office Supplies,San Diego,United States,Joel Eaton,0%,1,10/21/2018,CA-2018-144729,92037,Belkin,"Belkin 19"" Vented Equipment Shelf, Black",$2,3,West,$154,Consumer,10/25/2018,Standard Class,California,Storage
5%,Office Supplies,San Francisco,United States,Maxwell Schwartz,0%,1,8/31/2019,CA-2019-132619,94109,Space Solutions,Space Solutions Commercial Steel Shelving,$10,3,West,$194,Consumer,9/5/2019,Standard Class,California,Storage
28%,Office Supplies,San Francisco,United States,Patrick O'Brill,0%,1,5/1/2017,CA-2017-104486,94109,Eldon,Eldon Simplefile Box Office,$10,3,West,$37,Consumer,5/6/2017,Standard Class,California,Storage
25%,Office Supplies,San Francisco,United States,Eric Barreto,0%,1,5/18/2018,CA-2018-122728,94110,Other,Home/Office Personal File Carts,$26,3,West,$104,Consumer,5/24/2018,Standard Class,California,Storage
14%,Office Supplies,San Francisco,United States,Brian Thompson,0%,1,4/10/2018,CA-2018-123358,94122,Fellowes,Fellowes Staxonsteel Drawer Files,$81,3,West,$580,Consumer,4/17/2018,Standard Class,California,Storage
26%,Office Supplies,San Francisco,United States,Mike Kennedy,0%,1,12/2/2018,US-2018-108455,94122,Other,X-Rack File for Hanging Folders,$9,3,West,$34,Consumer,12/8/2018,Standard Class,California,Storage
2%,Office Supplies,San Jose,United States,Eugene Barchas,0%,1,9/11/2018,CA-2018-116561,95123,Other,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",$7,3,West,$333,Consumer,9/17/2018,Standard Class,California,Storage
28%,Office Supplies,Seattle,United States,Bradley Nguyen,0%,1,9/17/2016,CA-2016-103940,98103,Eldon,Eldon ProFile File 'N Store Portable File Tub Letter/Legal Size Black,$16,3,West,$58,Consumer,9/21/2016,Standard Class,Washington,Storage
25%,Office Supplies,Seattle,United States,Dana Kaydos,0%,1,8/12/2019,CA-2019-152310,98103,Other,Personal File Boxes with Fold-Down Carry Handle,$12,3,West,$47,Consumer,8/19/2019,Standard Class,Washington,Storage
3%,Office Supplies,Seattle,United States,Ted Trevino,0%,1,11/13/2019,CA-2019-122490,98103,Space Solutions,Space Solutions HD Industrial Steel Shelving.,$10,3,West,$345,Consumer,11/18/2019,Standard Class,Washington,Storage
1%,Office Supplies,San Diego,United States,Clytie Kelty,0%,1,12/26/2016,CA-2016-106264,92024,Acme,Acme Rosewood Handle Letter Opener,$0,3,West,$12,Consumer,12/30/2016,Standard Class,California,Supplies
28%,Office Supplies,San Diego,United States,Philip Fox,0%,1,8/27/2017,CA-2017-101707,92105,Fiskars,Fiskars Softgrip Scissors,$9,3,West,$33,Consumer,9/1/2017,Standard Class,California,Supplies
29%,Office Supplies,Seattle,United States,Christine Sundaresam,0%,1,11/12/2019,CA-2019-164364,98115,Acme,Acme Forged Steel Scissors with Black Enamel Handles,$8,3,West,$28,Consumer,11/16/2019,Standard Class,Washington,Supplies
30%,Office Supplies,Inglewood,United States,Khloe Miller,0%,1,12/15/2019,CA-2019-154116,90301,Hoover,Hoover Commercial SteamVac,$16,4,West,$54,Consumer,12/19/2019,Standard Class,California,Appliances
35%,Office Supplies,Los Angeles,United States,John Lee,0%,1,2/2/2019,CA-2019-161333,90045,Harmony,Harmony HEPA Quiet Air Purifiers,$16,4,West,$47,Consumer,2/7/2019,Standard Class,California,Appliances
29%,Office Supplies,Seattle,United States,Denny Ordway,0%,1,3/29/2017,CA-2017-121272,98103,Acco,Acco 6 Outlet Guardian Premium Plus Surge Suppressor,$21,4,West,$73,Consumer,4/4/2017,Standard Class,Washington,Appliances
29%,Office Supplies,Los Angeles,United States,John Lee,0%,1,4/18/2016,CA-2016-110849,90049,Newell,Newell 351,$4,4,West,$13,Consumer,4/23/2016,Standard Class,California,Art
33%,Office Supplies,San Diego,United States,Ed Jacobs,0%,1,1/27/2016,US-2016-117163,92037,Dixon,Dixon Ticonderoga Core-Lock Colored Pencils,$12,4,West,$36,Consumer,2/2/2016,Standard Class,California,Art
42%,Office Supplies,San Francisco,United States,Julia West,0%,1,9/25/2018,CA-2018-101385,94109,BIC,BIC Brite Liner Highlighters,$7,4,West,$17,Consumer,10/1/2018,Standard Class,California,Art
27%,Office Supplies,San Jose,United States,Khloe Miller,0%,1,12/22/2016,CA-2016-133543,95123,Newell,Newell 332,$3,4,West,$12,Consumer,12/26/2016,Standard Class,California,Art
29%,Office Supplies,Westminster,United States,Toby Carlisle,0%,1,7/14/2019,CA-2019-121048,92683,Boston,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",$21,4,West,$72,Consumer,7/18/2019,Standard Class,California,Art
46%,Office Supplies,Seattle,United States,Scott Williamson,0%,1,3/18/2019,CA-2019-148145,98115,Other,Deluxe Chalkboard Eraser Cleaner,$21,4,West,$46,Consumer,3/23/2019,Standard Class,Washington,Art
47%,Office Supplies,Los Angeles,United States,Kean Takahito,0%,1,12/24/2017,CA-2017-158456,90032,Other,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",$22,4,West,$46,Consumer,12/29/2017,Standard Class,California,Fasteners
33%,Office Supplies,Los Angeles,United States,Arthur Prichep,0%,1,9/29/2016,CA-2016-146969,90045,Stockwell,Stockwell Push Pins,$3,4,West,$9,Consumer,10/3/2016,Standard Class,California,Fasteners
47%,Office Supplies,Westminster,United States,Toby Carlisle,0%,1,7/14/2019,CA-2019-121048,92683,OIC,"OIC Binder Clips, Mini, 1/4"" Capacity, Black",$2,4,West,$5,Consumer,7/18/2019,Standard Class,California,Fasteners
47%,Office Supplies,Seattle,United States,Bill Donatelli,0%,1,6/10/2019,CA-2019-158071,98103,Avery,Avery 512,$5,4,West,$12,Consumer,6/15/2019,Standard Class,Washington,Labels
47%,Office Supplies,Seattle,United States,Joy Daniels,0%,1,10/4/2016,CA-2016-102085,98115,Avery,Avery 519,$14,4,West,$29,Consumer,10/9/2016,Standard Class,Washington,Labels
45%,Office Supplies,Costa Mesa,United States,Dave Brooks,0%,1,2/26/2019,CA-2019-121258,92627,Other,"It's Hot Message Books with Stickers, 2 3/4"" x 5""",$13,4,West,$30,Consumer,3/3/2019,Standard Class,California,Paper
48%,Office Supplies,Los Angeles,United States,Bill Donatelli,0%,1,8/15/2018,CA-2018-167241,90004,REDIFORM,"Rediform S.O.S. 1-Up Phone Message Bk, 4-1/4x3-1/16 Bk, 1 Form/Pg, 40 Messages/Bk, 3/Pk",$18,4,West,$38,Consumer,8/22/2018,Standard Class,California,Paper
48%,Office Supplies,Los Angeles,United States,Kean Thornton,0%,1,8/20/2019,CA-2019-105326,90036,Xerox,Xerox 203,$12,4,West,$26,Consumer,8/27/2019,Standard Class,California,Paper
47%,Office Supplies,Los Angeles,United States,Rob Lucas,0%,1,12/5/2016,CA-2016-133830,90045,Xerox,Xerox 1933,$23,4,West,$49,Consumer,12/10/2016,Standard Class,California,Paper
48%,Office Supplies,San Francisco,United States,Mike Kennedy,0%,1,12/2/2018,US-2018-108455,94122,Xerox,Xerox 192,$12,4,West,$26,Consumer,12/8/2018,Standard Class,California,Paper
48%,Office Supplies,San Francisco,United States,Mike Kennedy,0%,1,5/3/2019,CA-2019-163209,94122,Xerox,Xerox 2,$12,4,West,$26,Consumer,5/7/2019,Standard Class,California,Paper
48%,Office Supplies,Seattle,United States,Dana Kaydos,0%,1,8/12/2019,CA-2019-152310,98103,Xerox,Xerox 1937,$92,4,West,$192,Consumer,8/19/2019,Standard Class,Washington,Paper
45%,Office Supplies,Seattle,United States,Arthur Prichep,0%,1,12/10/2018,CA-2018-128412,98105,Xerox,Xerox 1988,$56,4,West,$124,Consumer,12/17/2018,Standard Class,Washington,Paper
1%,Office Supplies,Los Angeles,United States,Rob Dowd,0%,1,7/3/2019,CA-2019-139437,90004,Rogers,Rogers Deluxe File Chest,$1,4,West,$88,Consumer,7/8/2019,Standard Class,California,Storage
5%,Office Supplies,Los Angeles,United States,Hunter Glantz,0%,1,5/14/2017,CA-2017-165162,90032,Tennsco,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",$56,4,West,"$1,118",Consumer,5/21/2017,Standard Class,California,Storage
28%,Office Supplies,Los Angeles,United States,John Lee,0%,1,2/2/2019,CA-2019-161333,90045,Other,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",$39,4,West,$139,Consumer,2/7/2019,Standard Class,California,Storage
14%,Office Supplies,Los Angeles,United States,Gary McGarr,0%,1,12/3/2018,CA-2018-161025,90049,Fellowes,Fellowes Staxonsteel Drawer Files,$108,4,West,$773,Consumer,12/9/2018,Standard Class,California,Storage
1%,Office Supplies,San Jose,United States,Joel Eaton,0%,1,4/16/2019,CA-2019-108070,95123,Belkin,"Belkin 19"" Vented Equipment Shelf, Black",$2,4,West,$206,Consumer,4/20/2019,Standard Class,California,Storage
26%,Office Supplies,San Bernardino,United States,Berenike Kampe,0%,1,3/19/2017,CA-2017-113110,92404,Acme,Acme Elite Stainless Steel Scissors,$9,4,West,$33,Consumer,3/23/2017,Standard Class,California,Supplies
1%,Office Supplies,Seattle,United States,Maxwell Schwartz,0%,1,8/23/2018,CA-2018-150350,98105,Acme,Acme Rosewood Handle Letter Opener,$0,4,West,$16,Consumer,8/30/2018,Standard Class,Washington,Supplies
26%,Office Supplies,Los Angeles,United States,Cindy Stewart,0%,1,11/2/2019,US-2019-115609,90036,Fellowes,Fellowes 8 Outlet Superior Workstation Surge Protector w/o Phone/Fax/Modem Protection,$44,5,West,$168,Consumer,11/7/2019,Standard Class,California,Appliances
29%,Office Supplies,San Francisco,United States,George Ashbrook,0%,1,4/17/2017,CA-2017-155306,94122,Hoover,Hoover Upright Vacuum With Dirt Cup,$420,5,West,"$1,448",Consumer,4/21/2017,Standard Class,California,Appliances
28%,Office Supplies,Westminster,United States,Jeremy Lonsdale,0%,1,8/7/2019,CA-2019-156776,92683,Other,3.6 Cubic Foot Counter Height Office Refrigerator,$412,5,West,"$1,473",Consumer,8/11/2019,Standard Class,California,Appliances
29%,Office Supplies,Las Vegas,United States,Rick Duston,0%,1,5/20/2019,US-2019-166688,89115,Fellowes,Fellowes Basic Home/Office Series Surge Protectors,$19,5,West,$65,Consumer,5/26/2019,Standard Class,Nevada,Appliances
28%,Office Supplies,Pasco,United States,Michael Chen,0%,1,11/10/2019,US-2019-128447,99301,Eureka,"Eureka The Boss Lite 10-Amp Upright Vacuum, Blue",$112,5,West,$401,Consumer,11/17/2019,Standard Class,Washington,Appliances
26%,Office Supplies,Seattle,United States,Maxwell Schwartz,0%,1,8/23/2018,CA-2018-150350,98105,Acco,"Acco Six-Outlet Power Strip, 4' Cord Length",$11,5,West,$43,Consumer,8/30/2018,Standard Class,Washington,Appliances
29%,Office Supplies,Bakersfield,United States,Anthony Witt,0%,1,9/2/2019,CA-2019-123001,93309,Other,"OIC #2 Pencils, Medium Soft",$3,5,West,$9,Consumer,9/8/2019,Standard Class,California,Art
37%,Office Supplies,Lakewood,United States,Tracy Zic,0%,1,12/4/2017,CA-2017-119508,90712,Avery,Avery Hi-Liter Fluorescent Desk Style Markers,$6,5,West,$17,Consumer,12/9/2017,Standard Class,California,Art
45%,Office Supplies,Los Angeles,United States,Darren Powers,0%,1,11/24/2017,CA-2017-105347,90004,Prang,Prang Colored Pencils,$7,5,West,$15,Consumer,11/28/2017,Standard Class,California,Art
33%,Office Supplies,Los Angeles,United States,John Lee,0%,1,4/18/2016,CA-2016-110849,90049,Binney & Smith,"Binney & Smith inkTank Desk Highlighter, Chisel Tip, Yellow, 12/Box",$4,5,West,$11,Consumer,4/23/2016,Standard Class,California,Art
33%,Office Supplies,San Francisco,United States,Brian Dahlen,0%,1,1/13/2016,CA-2016-157147,94109,Other,4009 Highlighters by Sanford,$7,5,West,$20,Consumer,1/18/2016,Standard Class,California,Art
33%,Office Supplies,San Francisco,United States,Jamie Kunitz,0%,1,10/30/2019,CA-2019-123491,94122,Other,4009 Highlighters by Sanford,$7,5,West,$20,Consumer,11/5/2019,Standard Class,California,Art
33%,Office Supplies,San Francisco,United States,Tamara Manning,0%,1,1/20/2019,CA-2019-144589,94122,Staples in misc. colors,Staples in misc. colors,$8,5,West,$24,Consumer,1/25/2019,Standard Class,California,Art
38%,Office Supplies,Seattle,United States,Angele Hood,0%,1,9/15/2018,CA-2018-160479,98105,Sanford,SANFORD Major Accent Highlighters,$13,5,West,$35,Consumer,9/20/2018,Standard Class,Washington,Art
47%,Office Supplies,San Francisco,United States,Herbert Flentye,0%,1,9/21/2016,CA-2016-153969,94109,Other,"#10 White Business Envelopes,4 1/8 x 9 1/2",$37,5,West,$78,Consumer,9/25/2016,Standard Class,California,Envelopes
49%,Office Supplies,Seattle,United States,Jill Matthias,0%,1,5/12/2018,CA-2018-167416,98105,Other,"Manila Recycled Extra-Heavyweight Clasp Envelopes, 6"" x 9""",$27,5,West,$55,Consumer,5/17/2018,Standard Class,Washington,Envelopes
47%,Office Supplies,Seattle,United States,Maxwell Schwartz,0%,1,8/23/2018,CA-2018-150350,98105,Tyvek,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",$64,5,West,$136,Consumer,8/30/2018,Standard Class,Washington,Envelopes
33%,Office Supplies,Los Angeles,United States,Pamela Stobb,0%,1,4/17/2019,CA-2019-128965,90008,Stockwell,Stockwell Push Pins,$4,5,West,$11,Consumer,4/22/2019,Standard Class,California,Fasteners
50%,Office Supplies,San Francisco,United States,Alan Hwang,0%,1,11/29/2016,CA-2016-153983,94122,Other,Staples,$15,5,West,$30,Consumer,12/6/2016,Standard Class,California,Fasteners
49%,Office Supplies,Edmonds,United States,Bruce Stewart,0%,1,12/29/2019,CA-2019-130631,98026,Acco,Acco Glide Clips,$10,5,West,$20,Consumer,1/2/2020,Standard Class,Washington,Fasteners
50%,Office Supplies,Seattle,United States,Gary Hwang,0%,1,6/17/2016,CA-2016-144414,98105,Other,OIC Binder Clips,$9,5,West,$18,Consumer,6/21/2016,Standard Class,Washington,Fasteners
50%,Office Supplies,Bakersfield,United States,Anthony Witt,0%,1,9/2/2019,CA-2019-123001,93309,Avery,Avery 505,$37,5,West,$74,Consumer,9/8/2019,Standard Class,California,Labels
47%,Office Supplies,San Diego,United States,Emily Phan,0%,1,11/28/2019,CA-2019-131303,92037,Other,Round Specialty Laser Printer Labels,$29,5,West,$63,Consumer,12/2/2019,Standard Class,California,Labels
46%,Office Supplies,San Diego,United States,Frank Preis,0%,1,1/22/2018,CA-2018-125850,92037,Avery,Avery 476,$9,5,West,$21,Consumer,1/28/2018,Standard Class,California,Labels
47%,Office Supplies,Vallejo,United States,David Flashing,0%,1,10/4/2016,CA-2016-153479,94591,Avery,Avery 512,$7,5,West,$14,Consumer,10/8/2016,Standard Class,California,Labels
48%,Office Supplies,Orem,United States,Tamara Manning,0%,1,5/31/2017,CA-2017-147788,84057,Other,Self-Adhesive Removable Labels,$8,5,West,$16,Consumer,6/4/2017,Standard Class,Utah,Labels
48%,Office Supplies,Davis,United States,Jeremy Pistek,0%,1,8/16/2018,CA-2018-113117,95616,Xerox,Xerox 1931,$16,5,West,$32,Consumer,8/22/2018,Standard Class,California,Paper
47%,Office Supplies,Long Beach,United States,Dan Lawera,0%,1,9/25/2018,US-2018-125402,90805,Ampad,"Ampad Evidence Wirebond Steno Books, 6"" x 9""",$5,5,West,$11,Consumer,10/1/2018,Standard Class,California,Paper
45%,Office Supplies,Los Angeles,United States,Sean O'Donnell,0%,1,1/14/2019,CA-2019-149076,90036,Xerox,Xerox 19,$70,5,West,$155,Consumer,1/19/2019,Standard Class,California,Paper
49%,Office Supplies,Los Angeles,United States,Thomas Thornton,0%,1,6/30/2019,US-2019-113201,90045,Xerox,Xerox 1919,$100,5,West,$205,Consumer,7/5/2019,Standard Class,California,Paper
45%,Office Supplies,Los Angeles,United States,Dorothy Dickinson,0%,1,5/2/2019,CA-2019-147844,90049,Adams,"Adams ""While You Were Out"" Message Pads",$7,5,West,$16,Consumer,5/6/2019,Standard Class,California,Paper
46%,Office Supplies,Los Angeles,United States,Dorothy Dickinson,0%,1,5/2/2019,CA-2019-147844,90049,Adams,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",$16,5,West,$34,Consumer,5/6/2019,Standard Class,California,Paper
48%,Office Supplies,San Diego,United States,Brian Stugart,0%,1,11/17/2017,CA-2017-126725,92105,Xerox,Xerox 203,$16,5,West,$32,Consumer,11/21/2017,Standard Class,California,Paper
46%,Office Supplies,San Diego,United States,Philip Fox,0%,1,8/27/2017,CA-2017-101707,92105,Xerox,Xerox 1973,$53,5,West,$114,Consumer,9/1/2017,Standard Class,California,Paper
47%,Office Supplies,San Jose,United States,Matt Collins,0%,1,8/7/2019,CA-2019-115175,95123,Xerox,Xerox 1891,$115,5,West,$245,Consumer,8/12/2019,Standard Class,California,Paper
46%,Office Supplies,Seattle,United States,Frank Preis,0%,1,12/26/2018,US-2018-153129,98105,Strathmore,Strathmore Photo Mount Cards,$16,5,West,$34,Consumer,12/30/2018,Standard Class,Washington,Paper
47%,Office Supplies,Seattle,United States,Greg Tran,0%,1,12/6/2018,US-2018-169040,98105,Other,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",$89,5,West,$190,Consumer,12/12/2018,Standard Class,Washington,Paper
47%,Office Supplies,Seattle,United States,Rob Beeghly,0%,1,9/15/2018,US-2018-128678,98105,TOPS,"TOPS ""Important Message"" Pads, Canary, 4-1/4 x 5-1/2, 50 Sheets per Pad",$10,5,West,$21,Consumer,9/20/2018,Standard Class,Washington,Paper
30%,Office Supplies,Los Angeles,United States,Ralph Arnett,0%,1,9/4/2019,CA-2019-141929,90004,Other,"Trav-L-File Heavy-Duty Shuttle II, Black",$65,5,West,$218,Consumer,9/8/2019,Standard Class,California,Storage
5%,Office Supplies,Los Angeles,United States,Sarah Bern,0%,1,2/9/2019,CA-2019-145807,90032,Other,Sensible Storage WireTech Storage Systems,$18,5,West,$355,Consumer,2/13/2019,Standard Class,California,Storage
30%,Office Supplies,Los Angeles,United States,Cassandra Brandow,0%,1,8/28/2017,CA-2017-121188,90049,Other,"Hot File 7-Pocket, Floor Stand",$268,5,West,$892,Consumer,9/4/2017,Standard Class,California,Storage
2%,Office Supplies,San Diego,United States,Brian Stugart,0%,1,11/17/2017,CA-2017-126725,92105,Carina,Carina Media Storage Towers in Natural & Black,$6,5,West,$305,Consumer,11/21/2017,Standard Class,California,Storage
18%,Office Supplies,San Francisco,United States,Brian Dahlen,0%,1,1/13/2016,CA-2016-157147,94109,Tennsco,Tennsco 6- and 18-Compartment Lockers,$239,5,West,"$1,326",Consumer,1/18/2016,Standard Class,California,Storage
25%,Office Supplies,San Jose,United States,Sanjit Engle,0%,1,9/22/2016,CA-2016-158225,95123,Other,"File Shuttle II and Handi-File, Black",$42,5,West,$169,Consumer,9/28/2016,Standard Class,California,Storage
18%,Office Supplies,North Las Vegas,United States,Ivan Liston,0%,1,12/6/2017,US-2017-114741,89031,Tennsco,Tennsco 6- and 18-Compartment Lockers,$239,5,West,"$1,326",Consumer,12/10/2017,Standard Class,Nevada,Storage
29%,Office Supplies,Albuquerque,United States,Susan Vittorini,0%,1,12/28/2019,CA-2019-122798,87105,Eldon,Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays,$34,5,West,$118,Consumer,1/1/2020,Standard Class,New Mexico,Storage
19%,Office Supplies,Seattle,United States,Evan Bailliet,0%,1,9/29/2016,CA-2016-111962,98115,Fellowes,Fellowes Super Stor/Drawer Files,$153,5,West,$808,Consumer,10/4/2016,Standard Class,Washington,Storage
4%,Office Supplies,Seattle,United States,Mark Van Huff,0%,1,3/27/2017,CA-2017-132948,98115,Rogers,Rogers Profile Extra Capacity Storage Tub,$3,5,West,$84,Consumer,4/3/2017,Standard Class,Washington,Storage
26%,Office Supplies,Anaheim,United States,Maribeth Dona,0%,1,12/28/2016,CA-2016-143371,92804,Acme,Acme Box Cutter Scissors,$13,5,West,$51,Consumer,1/3/2017,Standard Class,California,Supplies
29%,Office Supplies,San Diego,United States,Kelly Andreada,0%,1,5/30/2019,CA-2019-116498,92037,Dixon,"Dixon My First Ticonderoga Pencil, #2",$10,6,West,$35,Consumer,6/3/2019,Standard Class,California,Art
39%,Office Supplies,San Francisco,United States,Christina Anderson,0%,1,3/25/2016,CA-2016-128237,94110,BIC,"BIC Brite Liner Grip Highlighters, Assorted, 5/Pack",$10,6,West,$25,Consumer,3/30/2016,Standard Class,California,Art
50%,Office Supplies,Brentwood,United States,Arianne Irving,0%,1,12/29/2016,CA-2016-102330,94513,Other,Alphabetical Labels for Top Tab Filing,$44,6,West,$89,Consumer,1/3/2017,Standard Class,California,Labels
47%,Office Supplies,San Francisco,United States,Jamie Kunitz,0%,1,10/30/2019,CA-2019-123491,94122,Avery,Avery 500,$21,6,West,$44,Consumer,11/5/2019,Standard Class,California,Labels
45%,Office Supplies,Los Angeles,United States,Clytie Kelty,0%,1,2/23/2019,CA-2019-104647,90008,Ampad,"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 ¾” x 11”",$17,6,West,$37,Consumer,3/1/2019,Standard Class,California,Paper
49%,Office Supplies,Los Angeles,United States,Craig Carreira,0%,1,6/18/2019,CA-2019-112753,90032,Xerox,Xerox 1930,$19,6,West,$39,Consumer,6/23/2019,Standard Class,California,Paper
